tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title,check,averageRating,numVotes
tt4269746,movie,The Matchbreaker,The Matchbreaker,0,2016,\N,94,"Comedy,Romance",The Matchbreaker,1,5.6,2402
tt4270516,movie,Grandma,Grandma,0,2015,\N,79,"Comedy,Drama",Grandma,1,6.7,13918
tt4276206,movie,The Secrets of Emily Blair,The Secrets of Emily Blair,0,2016,\N,95,"Horror,Thriller",The Secrets of Emily Blair,1,4.1,1269
tt4276820,movie,The Founder,The Founder,0,2016,\N,115,"Biography,Drama,History",The Founder,1,7.2,103310
tt4278962,movie,All Through the House,All Through the House,0,2015,\N,88,Horror,All Through the House,1,4.4,1718
tt4281724,movie,Terrifier,Terrifier,0,2016,\N,82,"Horror,Thriller",Terrifier,1,5.6,10547
tt4282872,movie,Dead Story,Dead Story,0,2017,\N,81,Horror,Dead Story,1,4.8,3548
tt4286666,movie,In-Lawfully Yours,In-Lawfully Yours,0,2016,\N,85,"Comedy,Romance",In-Lawfully Yours,1,5.8,1572
tt4287320,movie,The Circle,The Circle,0,2017,\N,110,"Drama,Sci-Fi,Thriller",The Circle,1,5.3,75383
tt4288636,movie,James White,James White,0,2015,\N,85,Drama,James White,1,7.1,5428
tt4289062,movie,Bloodrunners,Bloodrunners,0,2017,\N,95,"Action,Crime,Horror",Bloodrunners,1,5.0,1095
tt4302938,movie,Kubo and the Two Strings,Kubo and the Two Strings,0,2016,\N,101,"Action,Adventure,Animation",Kubo and the Two Strings,1,7.8,108852
tt4303202,movie,American Wrestler: The Wizard,American Wrestler: The Wizard,0,2016,\N,117,"Drama,Sport",American Wrestler: The Wizard,1,7.2,1613
tt4303340,movie,I Am Not a Serial Killer,I Am Not a Serial Killer,0,2016,\N,104,"Drama,Horror,Thriller",I Am Not a Serial Killer,1,6.2,12488
tt4305148,movie,Lovesong,Lovesong,0,2016,\N,84,"Drama,Romance",Lovesong,1,6.3,3468
tt4314716,movie,Darkness Rising,Darkness Rising,0,2017,\N,81,Horror,Darkness Rising,1,3.2,1283
tt4332232,movie,Fractured,Fractured,0,2019,\N,99,"Mystery,Thriller",Fractured,1,6.3,27316
tt4334266,movie,The Bad Batch,The Bad Batch,0,2016,\N,118,"Drama,Horror,Romance",The Bad Batch,1,5.3,22308
tt4335650,movie,Carnage Park,Carnage Park,0,2016,\N,90,"Action,Crime,Horror",Carnage Park,1,4.8,3073
tt4337072,movie,Ghost in the Shell: The New Movie,Kôkaku Kidôtai,0,2015,\N,100,"Action,Animation,Sci-Fi",Ghost in the Shell: The New Movie,1,6.7,3136
tt4337690,movie,90 Minutes in Heaven,90 Minutes in Heaven,0,2015,\N,121,Drama,90 Minutes in Heaven,1,4.7,3173
tt4341532,movie,The Phoenix Incident,The Phoenix Incident,0,2015,\N,81,"Mystery,Sci-Fi,Thriller",The Phoenix Incident,1,5.1,1361
tt4341582,movie,Queen of Katwe,Queen of Katwe,0,2016,\N,124,"Biography,Drama,Sport",Queen of Katwe,1,7.4,13560
tt4348012,movie,Mayhem,Mayhem,0,2017,\N,86,"Action,Comedy,Horror",Mayhem,1,6.3,12907
tt4351548,movie,Bomb City,Bomb City,0,2017,\N,95,"Crime,Drama",Bomb City,1,6.9,6137
tt4353250,movie,The Last Black Man in San Francisco,The Last Black Man in San Francisco,0,2019,\N,121,Drama,The Last Black Man in San Francisco,1,7.4,5132
tt4356480,movie,The Healer,The Healer,0,2017,\N,113,"Comedy,Drama,Family",The Healer,1,6.2,3440
tt4357394,movie,Tau,Tau,0,2018,\N,97,"Sci-Fi,Thriller",Tau,1,5.8,22072
tt4361050,movie,Ouija: Origin of Evil,Ouija: Origin of Evil,0,2016,\N,99,"Drama,Horror,Mystery",Ouija: Origin of Evil,1,6.1,49047
tt4364194,movie,The Peanut Butter Falcon,The Peanut Butter Falcon,0,2019,\N,97,"Adventure,Comedy,Drama",The Peanut Butter Falcon,1,7.8,11613
tt4365566,movie,Ghost House,Ghost House,0,2017,\N,89,"Horror,Thriller",Ghost House,1,4.7,3653
tt4381236,movie,The Greasy Strangler,The Greasy Strangler,0,2016,\N,93,"Comedy,Horror",The Greasy Strangler,1,5.7,5653
tt4382872,movie,Extraction,Extraction,0,2015,\N,92,"Action,Thriller",Extraction,1,4.0,8892
tt4385888,movie,20th Century Women,20th Century Women,0,2016,\N,119,"Comedy,Drama",20th Century Women,1,7.3,33962
tt4392770,movie,Always Shine,Always Shine,0,2016,\N,85,"Drama,Horror,Mystery",Always Shine,1,5.6,3563
tt4400994,movie,The Ballad of Lefty Brown,The Ballad of Lefty Brown,0,2017,\N,111,"Action,Drama,Western",The Ballad of Lefty Brown,1,6.2,4197
tt4405860,movie,Dead 7,Dead 7,0,2016,\N,89,"Comedy,Horror,Western",Dead 7,1,3.2,1148
tt4411234,movie,Slice,Slice,0,2018,\N,83,"Comedy,Crime,Fantasy",Slice,1,4.5,2310
tt4411596,movie,My Cousin Rachel,My Cousin Rachel,0,2017,\N,106,"Drama,Mystery,Romance",My Cousin Rachel,1,6.0,16075
tt4411618,movie,In Dubious Battle,In Dubious Battle,0,2016,\N,110,"Crime,Drama,History",In Dubious Battle,1,6.1,3330
tt4416518,movie,Shark Lake,Shark Lake,0,2015,\N,92,"Action,Adventure,Crime",Shark Lake,1,3.4,1786
tt4419364,movie,Holidays,Holidays,0,2016,\N,105,"Fantasy,Horror,Mystery",Holidays,1,5.1,9144
tt4425200,movie,John Wick: Chapter 2,John Wick: Chapter 2,0,2017,\N,122,"Action,Crime,Thriller",John Wick: Chapter 2,1,7.5,320154
tt4435082,movie,Running Wild,Running Wild,0,2017,\N,99,"Drama,Western",Running Wild,1,5.9,1154
tt4437216,movie,Goat,Goat,0,2016,\N,96,Drama,Goat,1,5.7,6966
tt4439102,movie,Officer Downe,Officer Downe,0,2016,\N,88,"Action,Comedy,Sci-Fi",Officer Downe,1,4.1,1700
tt4441098,movie,Cold Moon,Cold Moon,0,2016,\N,92,"Crime,Drama,Horror",Cold Moon,1,4.5,1263
tt4441150,movie,Salt and Fire,Salt and Fire,0,2016,\N,98,Thriller,Salt and Fire,1,4.1,2127
tt4442130,movie,Wild Horses,Wild Horses,0,2015,\N,100,"Crime,Drama,Western",Wild Horses,1,4.8,2948
tt4443658,movie,Better Watch Out,Better Watch Out,0,2016,\N,89,"Comedy,Crime,Horror",Better Watch Out,1,6.5,23738
tt4444438,movie,As You Are,As You Are,0,2016,\N,110,"Drama,Mystery",As You Are,1,6.6,1824
tt4446472,movie,Porto,Porto,0,2016,\N,76,"Drama,Romance",Porto,1,6.1,1475
tt4450396,movie,My Little Pony: Equestria Girls - Friendship Games,My Little Pony: Equestria Girls - Friendship Games,0,2015,\N,72,"Animation,Family,Fantasy",My Little Pony: Equestria Girls - Friendship Games,1,6.5,1378
tt4454930,movie,HoneyBee,HoneyBee,0,2016,\N,95,Horror,HoneyBee,1,6.3,1819
tt4457344,movie,Dave Made a Maze,Dave Made a Maze,0,2017,\N,80,"Adventure,Comedy,Fantasy",Dave Made a Maze,1,6.2,4530
tt4463816,movie,Terminal,Terminal,0,2018,\N,95,"Crime,Drama,Thriller",Terminal,1,5.3,15827
tt4463894,movie,Shaft,Shaft,0,2019,\N,111,"Action,Comedy,Crime",Shaft,1,6.4,31833
tt4464394,movie,The Gracefield Incident,The Gracefield Incident,0,2017,\N,89,"Action,Horror,Mystery",The Gracefield Incident,1,4.1,1956
tt4465564,movie,Fifty Shades Darker,Fifty Shades Darker,0,2017,\N,118,"Drama,Romance",Fifty Shades Darker,1,4.6,84296
tt4465572,movie,American Woman,American Woman,0,2018,\N,111,"Drama,Mystery",American Woman,1,6.7,1329
tt4468634,movie,Certain Women,Certain Women,0,2016,\N,107,Drama,Certain Women,1,6.3,10648
tt4468740,movie,Paddington 2,Paddington 2,0,2017,\N,103,"Adventure,Comedy,Family",Paddington 2,1,7.8,49595
tt4470288,movie,Abnormal Attraction,Abnormal Attraction,0,2018,\N,107,"Adventure,Comedy,Fantasy",Abnormal Attraction,1,6.4,2502
tt4477536,movie,Fifty Shades Freed,Fifty Shades Freed,0,2018,\N,105,"Drama,Romance,Thriller",Fifty Shades Freed,1,4.5,46697
tt4480398,movie,Attack of the Killer Donuts,Attack of the Killer Donuts,0,2016,\N,98,"Action,Comedy,Horror",Attack of the Killer Donuts,1,3.7,1198
tt4481414,movie,Gifted,Gifted,0,2017,\N,101,Drama,Gifted,1,7.6,86925
tt4481514,movie,The House,The House,0,2017,\N,88,"Comedy,Crime",The House,1,5.6,35776
tt4486986,movie,All I See Is You,All I See Is You,0,2016,\N,109,"Drama,Mystery,Romance",All I See Is You,1,5.3,9173
tt4497338,movie,Interrogation,Interrogation,0,2016,\N,93,"Action,Thriller",Interrogation,1,4.9,1437
tt4499228,movie,Gehenna: Where Death Lives,Gehenna: Where Death Lives,0,2016,\N,105,"Horror,Mystery,Thriller",Gehenna: Where Death Lives,1,5.0,1357
tt4500922,movie,Maze Runner: The Death Cure,Maze Runner: The Death Cure,0,2018,\N,143,"Action,Sci-Fi,Thriller",Maze Runner: The Death Cure,1,6.2,96835
tt4501244,movie,Why Him?,Why Him?,0,2016,\N,111,Comedy,Why Him?,1,6.2,92426
tt4501454,movie,The Meddler,The Meddler,0,2015,\N,103,"Comedy,Drama,Romance",The Meddler,1,6.3,11020
tt4503598,movie,Emelie,Emelie,0,2015,\N,82,"Horror,Thriller",Emelie,1,5.4,12381
tt4504044,movie,The Prodigy,The Prodigy,0,2019,\N,92,"Horror,Thriller",The Prodigy,1,5.9,16480
tt4511566,movie,Navy Seals vs. Zombies,Navy Seals vs. Zombies,0,2015,\N,97,"Action,Horror",Navy Seals vs. Zombies,1,3.3,1801
tt4513316,movie,Novitiate,Novitiate,0,2017,\N,123,Drama,Novitiate,1,6.6,3283
tt4513674,movie,Café Society,Café Society,0,2016,\N,96,"Comedy,Drama,Romance",Café Society,1,6.6,64647
tt4516352,movie,Bethany,Bethany,0,2017,\N,90,Horror,Bethany,1,5.5,1496
tt4518260,movie,Albion: The Enchanted Stallion,Albion: The Enchanted Stallion,0,2016,\N,106,"Action,Adventure,Comedy",Albion: The Enchanted Stallion,1,5.2,1187
tt4520340,movie,Last Girl Standing,Last Girl Standing,0,2015,\N,91,"Drama,Horror",Last Girl Standing,1,4.8,1072
tt4520364,movie,Morgan,Morgan,0,2016,\N,92,"Action,Horror,Sci-Fi",Morgan,1,5.8,36625
tt4526546,movie,Edge of Winter,Edge of Winter,0,2016,\N,89,"Drama,Thriller",Edge of Winter,1,5.4,3303
tt4530422,movie,Overlord,Overlord,0,2018,\N,110,"Action,Adventure,Horror",Overlord,1,6.6,67316
tt4532818,movie,Sophie and the Rising Sun,Sophie and the Rising Sun,0,2016,\N,105,Drama,Sophie and the Rising Sun,1,6.5,1018
tt4532826,movie,Robin Hood,Robin Hood,0,2018,\N,116,"Action,Adventure,Thriller",Robin Hood,1,5.3,52285
tt4537888,movie,The Monster Project,The Monster Project,0,2017,\N,95,"Action,Fantasy,Horror",The Monster Project,1,4.4,2473
tt4537896,movie,White Boy Rick,White Boy Rick,0,2018,\N,111,"Crime,Drama",White Boy Rick,1,6.4,19815
tt4540434,movie,Paradox,Paradox,0,2016,\N,90,"Action,Drama,Sci-Fi",Paradox,1,4.6,3026
tt4540710,movie,Miss Sloane,Miss Sloane,0,2016,\N,132,"Drama,Thriller",Miss Sloane,1,7.5,55465
tt4547194,movie,I Kill Giants,I Kill Giants,0,2017,\N,106,"Drama,Fantasy,Thriller",I Kill Giants,1,6.2,24809
tt4547938,movie,Katie Says Goodbye,Katie Says Goodbye,0,2016,\N,88,Drama,Katie Says Goodbye,1,6.7,1049
tt4550098,movie,Nocturnal Animals,Nocturnal Animals,0,2016,\N,116,"Drama,Thriller",Nocturnal Animals,1,7.5,213495
tt4550420,movie,My Blind Brother,My Blind Brother,0,2016,\N,85,"Comedy,Drama,Romance",My Blind Brother,1,6.0,3360
tt4555426,movie,Darkest Hour,Darkest Hour,0,2017,\N,125,"Biography,Drama,History",Darkest Hour,1,7.4,145204
tt4556370,movie,Altitude,Altitude,0,2017,\N,88,"Action,Crime,Thriller",Altitude,1,4.0,2812
tt4557208,movie,Armed Response,Armed Response,0,2017,\N,93,"Action,Horror,Thriller",Armed Response,1,3.7,1801
tt4557956,movie,Crash Pad,Crash Pad,0,2017,\N,91,Comedy,Crash Pad,1,5.7,2321
tt4560008,movie,This Beautiful Fantastic,This Beautiful Fantastic,0,2016,\N,100,"Comedy,Drama,Fantasy",This Beautiful Fantastic,1,6.9,7283
tt4560436,movie,Mile 22,Mile 22,0,2018,\N,94,"Action,Thriller",Mile 22,1,6.1,54480
tt4565520,movie,The Layover,The Layover,0,2017,\N,88,"Comedy,Romance",The Layover,1,4.7,11045
tt4566574,movie,Mega Shark vs. Kolossus,Mega Shark vs. Kolossus,0,2015,\N,89,"Action,Adventure,Comedy",Mega Shark vs. Kolossus,1,2.7,1319
tt4567486,movie,The Mind's Eye,The Mind's Eye,0,2015,\N,87,"Action,Horror,Sci-Fi",The Mind's Eye,1,4.5,1567
tt4572514,movie,Patriots Day,Patriots Day,0,2016,\N,133,"Action,Crime,Drama",Patriots Day,1,7.4,79116
tt4572792,movie,The Book of Henry,The Book of Henry,0,2017,\N,105,"Crime,Drama,Thriller",The Book of Henry,1,6.6,21116
tt4573516,movie,Sleight,Sleight,0,2016,\N,89,"Action,Drama,Sci-Fi",Sleight,1,5.9,7301
tt4574654,movie,Beneath the Leaves,Beneath the Leaves,0,2019,\N,90,Thriller,Beneath the Leaves,1,4.5,1053
tt4575576,movie,Christopher Robin,Christopher Robin,0,2018,\N,104,"Adventure,Comedy,Drama",Christopher Robin,1,7.3,58610
tt4577344,movie,ClownTown,ClownTown,0,2016,\N,86,"Horror,Thriller",ClownTown,1,3.8,1204
tt4578118,movie,Rupture,Rupture,0,2016,\N,102,"Horror,Sci-Fi,Thriller",Rupture,1,4.8,5574
tt4581576,movie,Aftermath,Aftermath,0,2017,\N,94,"Drama,Thriller",Aftermath,1,5.7,18884
tt4586626,movie,Showdown in Manila,Showdown in Manila,0,2016,\N,86,Action,Showdown in Manila,1,2.4,1533
tt4587366,movie,Eliminators,Eliminators,0,2016,\N,94,"Action,Thriller",Eliminators,1,5.5,3300
tt4587656,movie,The Star,The Star,0,2017,\N,86,"Adventure,Animation,Comedy",The Star,1,6.1,5418
tt4587780,movie,Unleashed,Unleashed,0,2016,\N,96,"Comedy,Fantasy,Romance",Unleashed,1,6.4,1216
tt4594834,movie,Chi-Raq,Chi-Raq,0,2015,\N,127,"Comedy,Crime,Drama",Chi-Raq,1,5.7,8306
tt4594836,movie,Darc,Darc,0,2018,\N,97,"Action,Thriller",Darc,1,5.8,3120
tt4595882,movie,Can You Ever Forgive Me?,Can You Ever Forgive Me?,0,2018,\N,106,"Biography,Comedy,Crime",Can You Ever Forgive Me?,1,7.1,36468
