Title_ID,Release_Year,Runtime(Minutes),Genre,Title,Rating,Number_of_Votes,Budget(LCY),USA_Gross($),Worldwide_Gross($),Released_Date,Released_Month,Rotten_Tomatoes,Metascore,Actors,Production
tt0498381,2017,102,"Drama,Horror,Mystery",Rings,4.5,35203,$25000000,27.79,83.08,03 Feb 2017,2.0,8.0,25.0,"Matilda Anna Ingrid Lutz, Alex Roe, Johnny Galecki, Vincent D'Onofrio",Paramount Pictures
tt0775440,2016,98,"Action,Drama,Horror",Cell,4.3,22929,,,1.32,10 Jun 2016,6.0,11.0,38.0,"John Cusack, Samuel L. Jackson, Isabelle Fuhrman, Clark Sarullo",Saban Films
tt0787524,2015,108,"Biography,Drama",The Man Who Knew Infinity,7.2,45325,$10000000,3.87,12.25,29 Apr 2016,4.0,62.0,56.0,"Jeremy Irons, Dev Patel, Malcolm Sinclair, Raghuvir Joshi",Edward R. Pressman Film Corporation
tt0790770,2015,100,"Biography,Drama,Music",Miles Ahead,6.4,8685,,2.61,3.46,22 Apr 2016,4.0,,64.0,"Don Cheadle, Ewan McGregor, Emayatzy Corinealdi, LaKeith Stanfield",
tt0800325,2019,107,"Biography,Comedy,Drama",The Dirt,7.0,31533,,,,22 Mar 2019,3.0,,39.0,"Machine Gun Kelly, Erin Ownbey, Douglas Booth, Aaron Jay Rome",
tt0810819,2015,119,"Biography,Drama,Romance",The Danish Girl,7.1,150723,$15000000,11.11,64.19,22 Jan 2016,1.0,68.0,66.0,"Alicia Vikander, Eddie Redmayne, Tusse Silberg, Adrian Schiller",Focus Features
tt0825283,2016,88,"Action,Adventure,Comedy",Maximum Ride,3.6,3985,,0.0,0.0,30 Aug 2016,8.0,,,"Allie Marie Evans, Patrick Johnson, Lyliana Wray, Luke Gregory Crosby",Studio 71
tt0837156,2016,90,"Comedy,Family",Pee-wee's Big Holiday,6.1,6561,,,,18 Mar 2016,3.0,,63.0,"Paul Reubens, Jordan Black, Doug Cox, Linda Porter",
tt0837563,2019,101,"Horror,Mystery,Thriller",Pet Sematary,5.8,61166,$21000000,54.72,112.4,05 Apr 2019,4.0,,57.0,"Jason Clarke, Amy Seimetz, John Lithgow, Jeté Laurence",
tt0859635,2018,99,"Comedy,Crime,Mystery",Super Troopers 2,6.1,21441,$13500000,30.62,31.63,20 Apr 2018,4.0,21.0,41.0,"Seann William Scott, Clifton Collins Jr., Steve Lemme, Erik Stolhanske",SK Planet
tt0884732,2015,101,Comedy,The Wedding Ringer,6.6,67780,$23000000,64.46,79.8,16 Jan 2015,1.0,27.0,35.0,"Kevin Hart, Josh Gad, Affion Crockett, Kaley Cuoco",Sony Screen Gems
tt0900387,2014,107,"Drama,Romance,War",Suite Française,7.0,20880,EUR15000000,,9.34,13 Mar 2015,3.0,76.0,63.0,"Michelle Williams, Kristin Scott Thomas, Margot Robbie, Eric Godon",The Weinstein Company
tt0918940,2016,110,"Action,Adventure,Drama",The Legend of Tarzan,6.2,153758,$180000000,126.64,356.7,01 Jul 2016,7.0,36.0,44.0,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz",Lionsgate Pictures
tt0972544,2018,101,"Crime,Drama,Thriller",Back Roads,7.0,3528,,,,07 Dec 2018,12.0,75.0,42.0,"Jennifer Morrison, Juliette Lewis, Alex Pettyfer, Robert Patrick",Samuel Goldwyn Films
tt0974015,2017,120,"Action,Adventure,Fantasy",Justice League,6.4,345175,$300000000,229.02,657.92,17 Nov 2017,11.0,40.0,45.0,"Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot",Warner Bros. Pictures
tt0995868,2016,107,"Biography,Drama,Sport",Pelé: Birth of a Legend,7.2,14539,,0.06,7.85,13 May 2016,5.0,30.0,39.0,"Kevin de Paula, Leonardo Lima Carvalho, Seu Jorge, Mariana Nunes",IFC Films
tt10008784,2019,105,Drama,Bull,8.7,1233,,,,18 Oct 2019,10.0,,63.0,"Rob Morgan, Amber Havard, Yolonda Ross, Keira Bennett",
tt1002563,2016,111,"Drama,Fantasy",The Young Messiah,5.6,2935,$18500000,6.49,7.33,11 Mar 2016,3.0,46.0,33.0,"Adam Greaves-Neal, Sara Lazzaro, Vincent Walsh, Finn Ireland",Focus Features
tt10039344,2019,90,"Horror,Thriller",Countdown,5.3,2833,$6500000,22.31,27.73,25 Oct 2019,10.0,,,"Elizabeth Lail, Jordan Calloway, Talitha Eliana Bateman, Peter Facinelli",
tt1014763,2015,137,"Crime,Drama,History",Child 44,6.5,61035,$50000000,1.22,12.95,17 Apr 2015,4.0,27.0,41.0,"Xavier Atkins, Mark Lewis Jones, Tom Hardy, Joel Kinnaman",Summit Entertainment
tt1018765,2015,107,"Comedy,Drama",Our Brand Is Crisis,6.1,19402,$28000000,7.0,8.53,30 Oct 2015,10.0,36.0,53.0,"Sandra Bullock, Billy Bob Thornton, Anthony Mackie, Joaquim de Almeida",Warner Bros. Pictures
tt1020072,2014,128,"Biography,Drama,History",Selma,7.5,79136,$20000000,52.08,66.79,09 Jan 2015,1.0,99.0,88.0,"David Oyelowo, Carmen Ejogo, Jim France, Trinity Simone",Paramount Pictures
tt10208198,2019,109,"Action,Crime,Drama","The Gangster, the Cop, the Devil",6.9,2523,,0.22,26.1,07 Jun 2019,6.0,95.0,65.0,"Dong-seok Ma, Mu-Yeol Kim, Kim Sungkyu",Well Go USA Entertainment
