tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title,check,averageRating,numVotes,budget_LCY,gross_USA_USD,cumm_worldwide_gross_USD,Released_Date,Released_Month,Rotten_Tomatoes,Metascore,Actors,Production
tt2387499,movie,Keeping Up with the Joneses,Keeping Up with the Joneses,0,2016,\N,105,"Action,Comedy",Keeping Up with the Joneses,1,5.9,53041,$40000000,14.9,29.92,21 Oct 2016,10,19,34,"Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot",20th Century Fox
tt2388771,movie,Mowgli: Legend of the Jungle,Mowgli,0,2018,\N,104,"Adventure,Drama,Fantasy",Mowgli: Legend of the Jungle,1,6.5,49216,,,,07 Dec 2018,12,52,51,"Christian Bale, Cate Blanchett, Benedict Cumberbatch, Naomie Harris",Netflix
tt2392385,movie,Lap Dance,Lap Dance,0,2014,\N,100,Drama,Lap Dance,1,5.1,2293,$2000000,,,05 Dec 2014,12,nan,N/A,"Carmen Electra, Omari Hardwick, Stacey Dash, James Remar",Phase 4 Films
tt2392748,movie,Scorched Earth,Scorched Earth,0,2018,\N,96,"Action,Sci-Fi",Scorched Earth,1,4.7,2521,,,,02 Feb 2018,2,20,32,"Gina Carano, Ryan Robbins, John Hannah, Dean Jagger","Lighthouse Pictures, Inc."
tt2392830,movie,A Quiet Passion,A Quiet Passion,0,2016,\N,125,"Biography,Drama",A Quiet Passion,1,6.4,4743,EUR6900000,1.87,4.16,07 Apr 2017,4,92,77,"Emma Bell, Sara Vertongen, Rose Williams, Benjamin Wainwright",Hurricane Films
tt2394063,movie,Too Late,Too Late,0,2015,\N,107,"Drama,Mystery,Thriller",Too Late,1,6.7,2617,,0.06,0.06,01 Apr 2016,4,72,54,"Crystal Reed, Dichen Lachman, Natalie Zea, Dash Mihok",N/A
tt2395339,movie,Mothers and Daughters,Mothers and Daughters,0,2016,\N,90,Drama,Mothers and Daughters,1,5.0,2629,,0.03,,06 May 2016,5,6,29,"Selma Blair, Luke Mitchell, Symmetry, Gilles Marini",Open Road Films
tt2395427,movie,Avengers: Age of Ultron,Avengers: Age of Ultron,0,2015,\N,141,"Action,Adventure,Sci-Fi",Avengers: Age of Ultron,1,7.3,688188,$250000000,459.01,1402.81,01 May 2015,5,75,66,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",Walt Disney Pictures
tt2396589,movie,Mudbound,Mudbound,0,2017,\N,134,"Drama,War",Mudbound,1,7.4,35581,,,0.12,17 Nov 2017,11,97,85,"Jonathan Banks, Carey Mulligan, Garrett Hedlund, Jason Clarke",Netflix
tt2398241,movie,Smurfs: The Lost Village,Smurfs: The Lost Village,0,2017,\N,90,"Adventure,Animation,Comedy",Smurfs: The Lost Village,1,6.0,16296,$60000000,45.02,197.18,07 Apr 2017,4,40,40,"Demi Lovato, Rainn Wilson, Joe Manganiello, Jack McBrayer",Sony Pictures
tt2400463,movie,The Invitation,The Invitation,0,2015,\N,100,"Drama,Horror,Mystery",The Invitation,1,6.6,75849,,0.23,0.35,08 Apr 2016,4,88,74,"Logan Marshall-Green, Tammy Blanchard, Emayatzy Corinealdi, Aiden Lovekamp",Drafthouse Films
tt2401097,movie,Tracers,Tracers,0,2015,\N,94,"Action,Crime,Drama",Tracers,1,5.6,17570,$11000000,,3.34,20 Mar 2015,3,25,45,"Taylor Lautner, Marie Avgeropoulos, Adam Rayner, Rafi Gavron",Lionsgate Films
tt2401878,movie,Anomalisa,Anomalisa,0,2015,\N,90,"Animation,Comedy,Drama",Anomalisa,1,7.3,59730,$8000000,3.76,5.66,11 Mar 2016,3,92,88,"David Thewlis, Jennifer Jason Leigh, Tom Noonan",Starburns Industries
tt2402101,movie,Dark Places,Dark Places,0,2015,\N,113,"Action,Drama,Mystery",Dark Places,1,6.2,39161,$20000000,0.21,5.09,18 Jun 2015,6,24,39,"Charlize Theron, Sterling Jerins, Nicholas Hoult, Christina Hendricks",A24 and DIRECTV
tt2402927,movie,Carol,Carol,0,2015,\N,118,"Drama,Romance",Carol,1,7.2,103989,$11800000,12.71,40.27,15 Jan 2016,1,94,95,"Cate Blanchett, Rooney Mara, Kyle Chandler, Sarah Paulson",The Weinstein Company
tt2404233,movie,Gods of Egypt,Gods of Egypt,0,2016,\N,127,"Action,Adventure,Fantasy",Gods of Egypt,1,5.4,97739,$140000000,31.15,150.68,26 Feb 2016,2,16,25,"Brenton Thwaites, John Samaha, Courtney Eaton, Nikolaj Coster-Waldau",Lionsgate
tt2404435,movie,The Magnificent Seven,The Magnificent Seven,0,2016,\N,132,"Action,Adventure,Western",The Magnificent Seven,1,6.9,172583,$90000000,93.43,162.36,23 Sep 2016,9,63,54,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio",Sony Pictures
tt2406566,movie,Atomic Blonde,Atomic Blonde,0,2017,\N,115,"Action,Mystery,Thriller",Atomic Blonde,1,6.7,158165,$30000000,51.69,100.12,28 Jul 2017,7,78,63,"Charlize Theron, James McAvoy, Eddie Marsan, John Goodman",Focus Features
tt2420166,movie,The World Made Straight,The World Made Straight,0,2015,\N,119,Drama,The World Made Straight,1,5.5,1742,,,,09 Jan 2015,1,60,48,"Noah Wyle, Jeremy Irvine, Minka Kelly, Adelaide Clemens",Millennium Entertainment
tt2433040,movie,Beyond the Mask,Beyond the Mask,0,2015,\N,103,"Action,Adventure,Drama",Beyond the Mask,1,5.0,2652,,1.24,1.24,06 Apr 2015,4,17,N/A,"Andrew Cheney, John Rhys-Davies, Kara Killmer, Alan Madlane",Freestyle Releasing
tt2436386,movie,Project Almanac,Project Almanac,0,2015,\N,106,"Drama,Mystery,Sci-Fi",Project Almanac,1,6.4,72588,$12000000,22.35,33.21,30 Jan 2015,1,36,47,"Jonny Weston, Sofia Black-D'Elia, Sam Lerner, Allen Evangelista",Paramount Pictures
tt2436682,movie,The Duel,The Duel,0,2016,\N,110,"Drama,Western",The Duel,1,5.8,8794,$10000000,,0.02,24 Jun 2016,6,26,42,"Woody Harrelson, Liam Hemsworth, Alice Braga, Emory Cohen",Mandeville Films
tt2443822,movie,The Boy,The Boy,0,2015,\N,105,"Drama,Horror,Thriller",The Boy,1,5.4,4353,,,,14 Mar 2015,3,nan,45,"David Morse, Jared Breeze, Rainn Wilson, Bill Sage",N/A
tt2446042,movie,Taken 3,Taken 3,0,2014,\N,108,"Action,Thriller",Taken 3,1,6.0,168532,$48000000,89.26,326.48,09 Jan 2015,1,13,26,"Liam Neeson, Forest Whitaker, Famke Janssen, Maggie Grace",20th Century Fox
tt2446980,movie,Joy,Joy,0,2015,\N,124,Drama,Joy,1,6.6,120520,$60000000,56.45,101.13,25 Dec 2015,12,60,56,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez",20th Century Fox
tt2452244,movie,Isn't It Romantic,Isn't It Romantic,0,2019,\N,89,"Comedy,Fantasy,Romance",Isn't It Romantic,1,5.9,51254,$31000000,48.79,48.79,13 Feb 2019,2,70,60,"Rebel Wilson, Liam Hemsworth, Adam Devine, Priyanka Chopra",New Line Cinema
tt2452386,movie,The Fundamentals of Caring,The Fundamentals of Caring,0,2016,\N,97,"Comedy,Drama",The Fundamentals of Caring,1,7.3,50881,,,,24 Jun 2016,6,77,55,"Alex Huff, Donna Biscoe, Paul Rudd, Julia Denton",Netflix
tt2461150,movie,Masterminds,Masterminds,0,2016,\N,95,"Comedy,Crime",Masterminds,1,5.8,46571,$25000000,17.37,29.67,30 Sep 2016,9,33,47,"Zach Galifianakis, Kristen Wiig, Owen Wilson, Ross Kimball",Relativity Media
tt2461340,movie,Till We Meet Again,Till We Meet Again,0,2016,\N,105,"Adventure,Drama,Romance",Till We Meet Again,1,6.8,2293,$130000,,,25 Nov 2016,11,nan,N/A,"Johan Matton, Linnea Larsdotter, Emrhys Cooper, Astrea Campbell-Cobb",N/A
tt2461520,movie,Man Down,Man Down,0,2015,\N,90,"Drama,Thriller",Man Down,1,5.9,8474,,,0.17,02 Dec 2016,12,15,27,"Shia LaBeouf, Jai Courtney, Gary Oldman, Kate Mara",Krannel Pictures
tt2464690,movie,The Rack Pack,The Rack Pack,0,2016,\N,87,"Comedy,Drama,Sport",The Rack Pack,1,7.1,1082,$100000,,,17 Jan 2016,1,nan,N/A,"Dennis Taylor, Steve Davis, Alex Higgins, Luke Treadaway",Zeppotron
tt2473510,movie,Paranormal Activity: The Ghost Dimension,Paranormal Activity: The Ghost Dimension,0,2015,\N,88,"Horror,Mystery,Thriller",Paranormal Activity: The Ghost Dimension,1,4.6,23051,$10000000,18.3,78.9,23 Oct 2015,10,14,30,"Chris J. Murray, Brit Shaw, Ivy George, Dan Gill",Paramount Pictures
tt2474976,movie,The Hallow,The Hallow,0,2015,\N,97,Horror,The Hallow,1,5.7,14228,,0.01,1.86,05 Nov 2015,11,71,65,"Joseph Mawle, Bojana Novakovic, Michael McElhatton, Michael Smiley",Occupant Entertainment
tt2477218,movie,Field of Lost Shoes,Field of Lost Shoes,0,2015,\N,96,"Action,Drama,War",Field of Lost Shoes,1,5.7,1479,$6000000,,,20 Mar 2015,3,40,28,"Michael Krebs, Jake Lawson, Sean Marquette, David Arquette",Bosch Media
tt2479478,movie,The Ridiculous 6,The Ridiculous 6,0,2015,\N,119,"Comedy,Western",The Ridiculous 6,1,4.8,40127,$60000000,,,11 Dec 2015,12,0,18,"Adam Sandler, Terry Crews, Jorge Garcia, Taylor Lautner",Netflix
